#Nchannels
116
#	ADC	TDC	TOF 
#crate	board	channel	crate	board	channel	station	plane	slab	pmt	pmtNum	pmtName 
1	5	4	1	1	6	1	0	4	0	124	tof1s4
1	5	5	1	1	7	1	0	5	0	126	tof1s5
1	5	6	1	1	8	1	0	6	0	128	tof1s6
1	7	0	1	2	2	1	0	0	1	115	tof1n0
1	7	1	1	2	3	1	0	1	1	117	tof1n1
1	7	2	1	2	4	1	0	2	1	119	tof1n2
1	7	3	1	2	5	1	0	3	1	121	tof1n3
1	7	4	1	2	6	1	0	4	1	123	tof1n4
1	7	5	1	2	7	1	0	5	1	125	tof1n5
1	7	6	1	2	8	1	0	6	1	127	tof1n6
1	6	0	1	1	9	1	1	0	0	113	tof1b0
1	6	1	1	1	10	1	1	1	0	111	tof1b1
1	6	2	1	1	11	1	1	2	0	109	tof1b2
1	6	3	1	1	12	1	1	3	0	107	tof1b3
1	6	4	1	1	13	1	1	4	0	105	tof1b4
1	6	5	1	1	14	1	1	5	0	103	tof1b5
1	6	6	1	1	15	1	1	6	0	101	tof1b6
1	8	0	1	2	9	1	1	0	1	114	tof1t0
1	8	1	1	2	10	1	1	1	1	112	tof1t1
1	8	2	1	2	11	1	1	2	1	110	tof1t2
1	8	3	1	2	12	1	1	3	1	108	tof1t3
1	8	4	1	2	13	1	1	4	1	106	tof1t4
1	8	5	1	2	14	1	1	5	1	104	tof1t5
1	8	6	1	2	15	1	1	6	1	102	tof1t6
0	22	0	1	4	04	2	0	0	1	220	tof2s0
0	18	0	1	3	16	2	0	1	1	218	tof2s1 
0	18	1	1	3	17	2	0	2	1	216	tof2s2
0	18	2	1	3	18	2	0	3	1	214	tof2s3
0	18	3	1	3	19	2	0	4	1	212	tof2s4
0	18	4	1	3	20	2	0	5	1	210	tof2s5
0	18	5	1	3	21	2	0	6	1	208	tof2s6
0	18	6	1	3	22	2	0	7	1	206	tof2s7
0	18	7	1	3	23	2	0	8	1	204	tof2s8
0	22	4	1	4	12	2	0	9	1	202	tof2s9
0	22	2	1	4	06	2	0	0	0	222	tof2n0
0	20	0	1	4	16	2	0	1	0	224	tof2n1
0	20	1	1	4	17	2	0	2	0	226	tof2n2
0	20	2	1	4	18	2	0	3	0	228	tof2n3
0	20	3	1	4	19	2	0	4	0	230	tof2n4
0	20	4	1	4	20	2	0	5	0	232	tof2n5
0	20	5	1	4	21	2	0	6	0	234	tof2n6
0	20	6	1	4	22	2	0	7	0	236	tof2n7
0	20	7	1	4	23	2	0	8	0	238	tof2n8
0	22	6	1	4	14	2	0	9	0	240	tof2n9
0	22	1	1	4	05	2	1	0	0	219	tof2b0
0	19	0	1	3	24	2	1	1	0	217	tof2b1
0	19	1	1	3	25	2	1	2	0	215	tof2b2
0	19	2	1	3	26	2	1	3	0	213	tof2b3
0	19	3	1	3	27	2	1	4	0	211	tof2b4
0	19	4	1	3	28	2	1	5	0	209	tof2b5
0	19	5	1	3	29	2	1	6	0	207	tof2b6
0	19	6	1	3	30	2	1	7	0	205	tof2b7
0	19	7	1	3	31	2	1	8	0	203	tof2b8
0	22	5	1	4	13	2	1	9	0	201	tof2b9
0	22	3	1	4	07	2	1	0	1	221	tof2t0
0	21	0	1	4	24	2	1	1	1	223	tof2t1
0	21	1	1	4	25	2	1	2	1	225	tof2t2
0	21	2	1	4	26	2	1	3	1	227	tof2t3
0	21	3	1	4	27	2	1	4	1	229	tof2t4
0	21	4	1	4	28	2	1	5	1	231	tof2t5
0	21	5	1	4	29	2	1	6	1	233	tof2t6
0	21	6	1	4	30	2	1	7	1	235	tof2t7
0	21	7	1	4	31	2	1	8	1	237	tof2t8
0	22	7	1	4	15	2	1	9	1	239	tof2t9
99	99	99	1	1	0	99	99	99	99	99	trigger
99	99	99	1	2	0	99	99	99	99	99	trigger
99	99	99	1	3	0	99	99	99	99	99	trigger
99	99	99	1	4	0	99	99	99	99	99	trigger
99	99	99	1	1	1	99	99	99	99	99	triggerRequest
99	99	99	1	2	1	99	99	99	99	99	triggerRequest
99	99	99	1	3	1	99	99	99	99	99	triggerRequest
99	99	99	1	4	1	99	99	99	99	99	triggerRequest
